Reef,Zone,Latitude,Longitude,median_ubed90,per_suitable,temp_median,Secchi_median
21187S,Back,-21.41006387,151.6226919,0.184801757,0.71625,26.03137112,17.2983551
21187S,Flank2,-21.41950321,151.6088721,0.112076744,1,25.56461811,17.2983551
21187S,Flank1,-21.40717086,151.6416474,0.376824565,0.938571429,25.63951588,17.2983551
21245S,Flank1,-21.29706542,152.4432078,0.388316214,0.908571429,25.66612244,15.9629755
21245S,Back,-21.30562656,152.4355485,0.201231591,0.585396825,25.74196434,15.9629755
21245S,Flank2,-21.31133018,152.4281544,0.195755512,0.642,25.67952442,15.9629755
21245S,Front,-21.30786646,152.4427597,0.370749816,0.995714286,25.64845085,15.9629755
21278S,Flank2,-21.10995102,152.5437831,0.522256315,0.92,25.88101578,15.47457886
21278S,Front,-21.10256275,152.5531281,0.56886062,0.99625,25.05724239,15.47457886
21278S,Flank1,-21.10119548,152.5402369,0.29925821,0.938333333,25.87524033,15.47457886
21278S,Back,-21.10748212,152.5332972,0.209784798,0.277142857,25.85308266,15.47457886
21296S,Flank1,-21.3308579,152.5683662,0.599403262,1,25.66010857,15.56381798
21296S,Front,-21.34184372,152.5553453,0.562817588,1,25.62863922,15.56381798
21296S,Back,-21.33658965,152.5508041,0.245105162,0.254318182,25.66056824,15.56381798
21296S,Flank2,-21.34800957,152.5384638,0.593553364,1,25.63844585,15.56381798
21302S,Front,-21.43367926,152.5851242,0.952495039,1,25.62348652,16.33641434
21302S,Flank2,-21.43524306,152.5731682,0.626585394,1,25.64922714,16.33641434
21302S,Flank1,-21.42583527,152.584382,0.8421911,1,25.64191246,16.33641434
21302S,Back,-21.43222931,152.5787043,0.623915419,0.940333333,25.64191246,16.33641434
21529S,Back,-21.86354713,152.1737223,0.279402271,0.148461538,25.60374069,16.34680367
21529S,Flank1,-21.86744947,152.1853333,0.628885031,1,25.60797977,16.34680367
21529S,Flank2,-21.87370312,152.1632974,0.247770332,0.810625,25.5914526,16.34680367
21529S,Front,-21.87558878,152.1742989,0.331450492,0.9905,25.61262131,16.34680367
21550S,Flank2,-21.95592581,152.2976771,0.311751783,0.714444444,25.56289291,16.82251358
21550S,Flank1,-21.95453242,152.3205596,0.2964461,0.7704,25.56800556,16.82251358
21550S,Front,-21.96244217,152.3070176,0.309603162,0.9856,25.56636715,16.82251358
21550S,Back,-21.94766325,152.3109597,0.205201801,0.411891892,25.57536125,16.82251358
21558S,Flank2,-21.55909241,152.5376287,0.616720766,0.973548387,25.58850765,15.95290279
21558S,Front,-21.55049852,152.5591814,0.957949281,0.999756098,25.60527515,15.95290279
21558S,Flank1,-21.54075269,152.5492891,0.460067324,0.942040816,25.60382366,15.95290279
21558S,Back,-21.55208114,152.5264313,0.349452853,0.726521739,25.59514236,15.95290279
21591S,Flank1,-21.02970669,150.3815096,0.320457272,0.975454545,25.95469379,16.23606682
21591S,Back,-21.0245993,150.3757494,0.259871639,0.767142857,25.80238056,16.23606682
21591S,Flank2,-21.02650186,150.3630596,0.353330329,0.85375,25.94093895,16.23606682
21591S,Front,-21.03327411,150.3705086,0.324031562,0.981666667,25.94395828,16.23606682
22084S,Flank1,-22.00022091,152.470548,0.266848385,0.945625,25.62388802,16.60138893
22084S,Back,-21.99810351,152.4639968,0.213612061,0.245789474,25.62260818,16.60138893
22084S,Flank2,-22.00140346,152.4559139,0.198233172,0.836666667,24.94598103,16.60138893
22084S,Front,-22.00342286,152.4619449,0.136054732,1,25.62388802,16.60138893
AGINCOURT REEFS (NO 1),Flank2,-16.06422288,145.8653701,0.581185371,0.945555556,27.03964424,24.40787888
AGINCOURT REEFS (NO 1),Front,-16.05278132,145.8709994,0.807907522,1,27.01454544,24.40787888
AGINCOURT REEFS (NO 1),Flank1,-16.03970723,145.8656327,0.500918627,0.917,26.98457813,24.40787888
AGINCOURT REEFS (NO 1),Back,-16.05203928,145.8663324,0.269630179,0.406451613,26.98436546,24.40787888
ANDERSEN REEF,Front,-15.79280143,145.8094605,0.668979645,1,26.96439171,23.89014626
ANDERSEN REEF,Flank1,-15.78166921,145.8144897,0.6920463,1,26.989645,23.89014626
ANDERSEN REEF,Flank2,-15.79472134,145.7996465,0.418214813,0.952083333,26.94210911,23.89014626
ANDERSEN REEF,Back,-15.78726242,145.8031711,0.403390512,0.962,26.94665337,23.89014626
ARLINGTON REEF,Flank2,-16.67751943,146.1180162,0.635923445,0.997931034,27.09860706,19.50710297
ARLINGTON REEF,Front,-16.65328773,146.1125359,0.584572941,1,27.11745167,19.50710297
ARLINGTON REEF,Back,-16.66039618,146.090835,0.279955342,0.182631579,26.87019157,19.50710297
ARLINGTON REEF,Flank1,-16.64246989,146.0936536,0.391931951,0.813142857,26.77336216,19.50710297
ASHMORE BANKS (1),Front,-11.88787611,143.6466522,0.13795656,0.90375,27.19496536,22.09885216
ASHMORE BANKS (1),Flank2,-11.88560224,143.6414179,0.161189213,0.961111111,27.19277763,22.09885216
ASHMORE BANKS (1),Flank1,-11.88657179,143.6483299,0.148897871,0.905,27.19496536,22.09885216
ASHMORE BANKS (1),Back,-11.88452195,143.6435694,0.166850321,0.865555556,27.19149685,22.09885216
ASHMORE BANKS (2),Back,-11.8894957,143.6765262,0.117044883,0.975833333,27.19509315,22.00976944
ASHMORE BANKS (2),Flank2,-11.89201242,143.6816978,0.12266919,1,27.19096851,22.00976944
ASHMORE BANKS (2),Flank1,-11.88621353,143.6772443,0.161249168,0.895833333,27.19509315,22.00976944
ASHMORE BANKS (2),Front,-11.88972185,143.6838201,0.201697599,0.988,27.19509315,22.00976944
ASHMORE BANKS (3),Front,-11.92709682,143.6945763,0.141544566,0.993,27.19063377,21.51692772
ASHMORE BANKS (3),Flank2,-11.9272147,143.6893901,0.128601592,0.95125,27.19063377,21.51692772
ASHMORE BANKS (3),Flank1,-11.92415725,143.6942423,0.459504589,0.94,27.19225788,21.51692772
ASHMORE BANKS (3),Back,-11.92381794,143.6902931,0.18771885,0.954,27.19225788,21.51692772
BEAVER REEF,Back,-17.84004573,146.4869598,NA,0.265384615,26.72126961,19.04460526
BEAVER REEF,Flank1,-17.8370654,146.4960741,NA,0.38,26.93352509,19.04460526
BEAVER REEF,Front,-17.83983681,146.5029966,NA,0.826071429,26.93995857,19.04460526
BEAVER REEF,Flank2,-17.84452497,146.4930793,NA,0.387333333,26.88702106,19.04460526
BEN REEF,Flank2,-20.00962643,150.321578,0.668312311,0.993,25.91036987,14.17084885
BEN REEF,Flank1,-20.00467039,150.3178766,0.450885803,0.591666667,25.91036987,14.17084885
BEN REEF,Back,-20.00932692,150.3174421,0.371396035,0.504,25.91099834,14.17084885
BEN REEF,Front,-20.00404532,150.3201465,0.744243577,0.997142857,25.91036987,14.17084885
BLANCHARD REEF,Front,-13.42026344,143.770541,0.115486652,0.864756098,27.19676781,8.323641777
BLANCHARD REEF,Back,-13.41347127,143.7385342,0.031614842,0.508152174,NA,8.323641777
BLANCHARD REEF,Flank2,-13.44171445,143.7425849,0.075320993,0.61625,27.069561,8.323641777
BLANCHARD REEF,Flank1,-13.3887797,143.7689025,0.117576189,0.583488372,27.08736897,8.323641777
BORDER ISLAND REEF (NO 1),Back,-20.15527065,149.0307811,0.169489536,NA,26.47082424,13.65052986
BORDER ISLAND REEF (NO 1),Front,-20.1712249,149.0400599,0.493380234,NA,26.813797,13.65052986
BORDER ISLAND REEF (NO 1),Flank2,-20.17097261,149.0297914,0.216274142,NA,25.96057224,13.65052986
BORDER ISLAND REEF (NO 1),Flank1,-20.15514961,149.0424594,0.419869892,NA,NA,13.65052986
BOULDER REEF,Back,-15.41069181,145.4185213,0.069908991,NA,26.75580788,15.96701717
BOULDER REEF,Flank1,-15.39740038,145.4356771,0.220247108,NA,26.77012539,15.96701717
BOULDER REEF,Front,-15.41957107,145.4441811,0.289350361,NA,27.00907135,15.96701717
BOULDER REEF,Flank2,-15.43147504,145.4237059,0.217303034,NA,26.80055714,15.96701717
BOULT REEF,Flank1,-23.74745479,152.2822651,0.651884586,1,24.26647949,13.0364027
BOULT REEF,Front,-23.76281568,152.2808628,0.680320203,1,24.26670265,13.0364027
BOULT REEF,Flank2,-23.76787397,152.2600301,0.418042034,0.9745,24.31371498,13.0364027
BOULT REEF,Back,-23.75520717,152.2654055,0.316523701,0.570526316,24.29861641,13.0364027
BOWDEN REEF,Back,-19.03398906,147.9340781,0.236906659,0.467368421,26.51452351,20.27155304
BOWDEN REEF,Front,-19.0344793,147.9408478,0.401775077,0.999038462,26.59644413,20.27155304
BOWDEN REEF,Flank2,-19.05374813,147.9290233,0.215705387,0.970344828,26.64041328,20.27155304
BOWDEN REEF,Flank1,-19.01410047,147.9285674,0.246657252,0.9553125,26.62747955,20.27155304
BROOMFIELD REEF,Flank1,-23.25402664,151.9452433,0.7246297,0.999375,24.7776432,13.1684761
BROOMFIELD REEF,Front,-23.27424229,151.951652,0.819343418,1,NA,13.1684761
BROOMFIELD REEF,Flank2,-23.27310416,151.9313204,0.36141701,0.459649123,27.0718441,13.1684761
BROOMFIELD REEF,Back,-23.25386066,151.9353495,0.480056509,0.662432432,24.7853775,13.1684761
CANNAN REEF,Back,-20.48193464,150.1481566,0.210820079,0.266363636,26.16007233,18.01381493
CANNAN REEF,Flank2,-20.4851994,150.1513639,0.252801463,0.82,26.13958454,18.01381493
CANNAN REEF,Front,-20.48098422,150.1585891,0.476265833,0.684285714,26.13483047,18.01381493
CANNAN REEF,Flank1,-20.47656527,150.1546322,0.207328543,0.78,26.13483047,18.01381493
CARTER REEF,Back,-14.55313748,145.5929132,NA,0.348205128,26.79947376,23.57943153
CARTER REEF,Front,-14.53978867,145.5949825,NA,0.999390244,26.91751289,23.57943153
CARTER REEF,Flank2,-14.56893613,145.6043756,NA,0.997575758,26.80185127,23.57943153
CARTER REEF,Flank1,-14.52723739,145.570459,NA,0.918333333,26.89105225,23.57943153
CELEBRATION REEF,Front,-13.28549223,143.7036596,0.079651173,0.969705882,27.10223484,14.64007664
CELEBRATION REEF,Flank2,-13.28739359,143.6874624,0.04390227,0.643913043,27.11008072,14.64007664
CELEBRATION REEF,Flank1,-13.26939496,143.7024804,0.111660503,0.803043478,27.13475132,14.64007664
CELEBRATION REEF,Back,-13.26966446,143.6824903,0.058356655,0.356153846,27.09707642,14.64007664
CENTIPEDE REEF,Back,-18.73926564,147.5232254,0.192479655,0.398421053,26.6490469,20.38225174
CENTIPEDE REEF,Flank1,-18.73223867,147.542733,0.455140077,0.790526316,26.65488625,20.38225174
CENTIPEDE REEF,Front,-18.7468417,147.5369833,0.340385839,0.999272727,26.69270706,20.38225174
CENTIPEDE REEF,Flank2,-18.74506114,147.5152851,0.21033968,0.774545455,26.70610142,20.38225174
CHARITY REEF,Front,-19.37685988,148.342324,0.40118403,0.999545455,26.25448036,20.34702682
CHARITY REEF,Back,-19.35928066,148.3350217,0.210375778,0.61862069,26.47429943,20.34702682
CHARITY REEF,Flank1,-19.36529116,148.3474367,0.67021969,1,26.52540684,20.34702682
CHARITY REEF,Flank2,-19.37093148,148.3313022,0.133392785,0.698333333,26.48610687,20.34702682
CHICKEN REEF,Flank2,-18.6701727,147.7109931,0.497408241,0.993333333,26.66318703,20.60552979
CHICKEN REEF,Flank1,-18.65248013,147.7137788,0.379193425,0.988709677,26.67342472,20.60552979
CHICKEN REEF,Front,-18.66006808,147.7230206,0.763135821,1,26.63183975,20.60552979
CHICKEN REEF,Back,-18.66261817,147.709446,0.229383558,0.579893617,26.92876816,20.60552979
CHINAMAN REEF(16024),Flank1,-16.20501561,145.8020957,0.401404411,0.966,27.00447845,19.30827904
CHINAMAN REEF(16024),Front,-16.21496995,145.8027784,0.455353446,0.969772727,26.93919754,19.30827904
CHINAMAN REEF(16024),Flank2,-16.21781647,145.7847352,0.351562247,0.942,26.9299612,19.30827904
CHINAMAN REEF(16024),Back,-16.2104331,145.7917537,0.362409629,0.363103448,26.97956848,19.30827904
CHINAMAN REEF(22102),Flank2,-22.0110932,152.6471178,0.356690146,0.798181818,25.57096672,15.6142807
CHINAMAN REEF(22102),Front,-22.01244986,152.6568244,0.608877003,1,25.56100655,15.6142807
CHINAMAN REEF(22102),Flank1,-22.00300476,152.6671385,0.708595991,1,25.5476408,15.6142807
CHINAMAN REEF(22102),Back,-22.00038797,152.6576779,0.341361403,0.845588235,25.56421566,15.6142807
CLACK REEF,Back,-14.06339735,144.2316434,0.202870883,NA,26.8968792,12.55357933
CLACK REEF,Front,-14.06547415,144.2639456,0.345127776,NA,26.85664654,12.55357933
CLACK REEF,Flank2,-14.08014966,144.2331557,0.248455606,NA,26.91501141,12.55357933
CLACK REEF,Flank1,-14.04936359,144.2644709,0.382482067,NA,26.83302307,12.55357933
CORBETT REEF,Back,-13.92803592,144.2377258,0.252791733,0.61,26.93681145,16.38804436
CREAL REEF,Back,-20.52874551,150.3788615,0.213613063,0.854666667,25.93762016,17.37731552
CREAL REEF,Flank1,-20.53257138,150.3876261,0.480481461,0.96125,25.93826199,17.37731552
CREAL REEF,Flank2,-20.53578233,150.3762788,0.189393528,0.681428571,25.93645668,17.37731552
CREAL REEF,Front,-20.53837504,150.3840744,0.410775386,0.84,25.93645668,17.37731552
CREDLIN REEFS (EAST),Flank2,-20.55568843,149.9426958,0.328100219,0.864,26.14099312,17.26041031
CREDLIN REEFS (EAST),Flank1,-20.52246826,149.9513205,0.168318875,0.392941176,26.14763737,17.26041031
CREDLIN REEFS (EAST),Front,-20.54628654,149.9611582,0.52056542,0.983823529,26.18105793,17.26041031
CREDLIN REEFS (EAST),Back,-20.53649154,149.9376665,0.095486822,0.286382979,26.15305805,17.26041031
CREECH REEF (NORTH),Flank2,-13.63225433,144.1005699,0.118563782,0.9234375,26.97385406,21.83758736
CREECH REEF (NORTH),Front,-13.62604503,144.1139773,0.413491242,0.994324324,27.02213669,21.83758736
CREECH REEF (NORTH),Flank1,-13.61455792,144.1068609,0.257301647,0.941428571,27.04173279,21.83758736
CREECH REEF (NORTH),Back,-13.62004676,144.0957668,0.093062833,0.763461538,26.98255444,21.83758736
CURD REEF,Back,-12.58661453,143.5168953,0.245352201,0.7355,27.21174526,13.72302246
CURD REEF,Flank1,-12.58934975,143.5200163,0.19313509,0.8,27.19112301,13.72302246
CURD REEF,Front,-12.59219446,143.5134301,0.146582283,0.788125,27.21942234,13.72302246
CURD REEF,Flank2,-12.58826169,143.5073748,0.097768394,0.65875,27.23242283,13.72302246
DAVIE REEF,Flank1,-13.97133012,144.4449301,0.163661391,0.877209302,27.00508213,19.47775269
DAVIE REEF,Back,-13.98562746,144.4501945,0.208544977,0.808333333,26.95458031,19.47775269
DAVIE REEF,Flank2,-13.98148988,144.4695291,0.282600045,1,26.98736477,19.47775269
DAVIE REEF,Front,-13.97170917,144.4658365,0.365823306,0.967419355,26.9979744,19.47775269
DAVIES REEF,Flank2,-18.83340827,147.651604,0.324863285,0.990909091,26.75310993,20.21794128
DAVIES REEF,Front,-18.81193002,147.6679425,0.369309425,0.986551724,26.7006197,20.21794128
DAVIES REEF,Flank1,-18.802576,147.6571907,0.198965721,0.9535,26.66909885,20.21794128
DAVIES REEF,Back,-18.8469319,147.6343766,0.23995823,0.985882353,26.68843174,20.21794128
DIP REEF,Flank1,-18.40294767,147.4568659,0.424886629,1,26.75970078,22.92401123
DIP REEF,Front,-18.41597154,147.4631904,0.550923541,0.994255319,26.7646246,22.92401123
DIP REEF,Flank2,-18.41473853,147.454991,0.353360891,0.438039216,26.69655991,22.92401123
DIP REEF,Back,-18.40663505,147.4497433,0.294257253,0.751034483,26.76358986,22.92401123
EAST CAY REEF,Flank1,-21.46996379,152.5704663,0.636525765,0.972857143,25.76570034,16.54117393
EAST CAY REEF,Front,-21.48655921,152.5741548,0.992993951,1,25.5906868,16.54117393
