Reef,Zone,Latitude,Longitude,median_ubed90,per_suitable,PAR8_median,temp_median
21187S,Back,-21.41006387,151.6226919,0.184801757,0.71625,7.434839725,26.03137112
21187S,Flank1,-21.40717086,151.6416474,0.376824565,0.938571429,7.20719099,25.63951588
21187S,Flank2,-21.41950321,151.6088721,0.112076744,1,8.170866013,25.56461811
21187S,Front,-21.42303029,151.630717,0.29069896,0.999692308,4.456890821,25.66305161
21245S,Back,-21.30562656,152.4355485,0.201231591,0.585396825,9.05228138,25.74196434
21245S,Flank1,-21.29706542,152.4432078,0.388316214,0.908571429,11.02135944,25.66612244
21245S,Flank2,-21.31133018,152.4281544,0.195755512,0.642,9.05228138,25.67952442
21245S,Front,-21.30786646,152.4427597,0.370749816,0.995714286,10.29981899,25.64845085
21278S,Back,-21.10748212,152.5332972,0.209784798,0.277142857,8.408186913,25.85308266
21278S,Flank1,-21.10119548,152.5402369,0.29925821,0.938333333,11.3016367,25.87524033
21278S,Flank2,-21.10995102,152.5437831,0.522256315,0.92,7.713490248,25.88101578
21278S,Front,-21.10256275,152.5531281,0.56886062,0.99625,15.10996199,25.05724239
21296S,Back,-21.33658965,152.5508041,0.245105162,0.254318182,6.329000235,25.66056824
21296S,Flank1,-21.3308579,152.5683662,0.599403262,1,9.094883442,25.66010857
21296S,Flank2,-21.34800957,152.5384638,0.593553364,1,12.15565348,25.63844585
21296S,Front,-21.34184372,152.5553453,0.562817588,1,9.596080303,25.62863922
21302S,Back,-21.43222931,152.5787043,0.623915419,0.940333333,5.120846272,25.64191246
21302S,Flank1,-21.42583527,152.584382,0.8421911,1,13.10524845,25.64191246
21302S,Flank2,-21.43524306,152.5731682,0.626585394,1,5.120846272,25.64922714
21302S,Front,-21.43367926,152.5851242,0.952495039,1,9.409296036,25.62348652
21529S,Back,-21.86354713,152.1737223,0.279402271,0.148461538,9.678591728,25.60374069
21529S,Flank1,-21.86744947,152.1853333,0.628885031,1,9.958676338,25.60797977
21529S,Flank2,-21.87370312,152.1632974,0.247770332,0.810625,9.83165741,25.5914526
21529S,Front,-21.87558878,152.1742989,0.331450492,0.9905,12.48372126,25.61262131
21550S,Back,-21.94766325,152.3109597,0.205201801,0.411891892,11.34141922,25.57536125
21550S,Flank1,-21.95453242,152.3205596,0.2964461,0.7704,7.266334534,25.56800556
21550S,Flank2,-21.95592581,152.2976771,0.311751783,0.714444444,7.314306021,25.56289291
21550S,Front,-21.96244217,152.3070176,0.309603162,0.9856,9.493849754,25.56636715
21558S,Back,-21.55208114,152.5264313,0.349452853,0.726521739,12.78642845,25.59514236
21558S,Flank1,-21.54075269,152.5492891,0.460067324,0.942040816,11.71498013,25.60382366
21558S,Flank2,-21.55909241,152.5376287,0.616720766,0.973548387,7.418546677,25.58850765
21558S,Front,-21.55049852,152.5591814,0.957949281,0.999756098,3.221665382,25.60527515
21591S,Back,-21.0245993,150.3757494,0.259871639,0.767142857,12.75149107,25.80238056
21591S,Flank1,-21.02970669,150.3815096,0.320457272,0.975454545,12.75149107,25.95469379
21591S,Flank2,-21.02650186,150.3630596,0.353330329,0.85375,13.06167412,25.94093895
21591S,Front,-21.03327411,150.3705086,0.324031562,0.981666667,12.88044834,25.94395828
22084S,Back,-21.99810351,152.4639968,0.213612061,0.245789474,12.47551966,25.62260818
22084S,Flank1,-22.00022091,152.470548,0.266848385,0.945625,14.78022051,25.62388802
22084S,Flank2,-22.00140346,152.4559139,0.198233172,0.836666667,10.64449596,24.94598103
22084S,Front,-22.00342286,152.4619449,0.136054732,1,10.67490196,25.62388802
AGINCOURT REEFS (NO 1),Back,-16.05203928,145.8663324,0.269630179,0.406451613,14.36042643,26.98436546
AGINCOURT REEFS (NO 1),Flank1,-16.03970723,145.8656327,0.500918627,0.917,17.42525864,26.98457813
AGINCOURT REEFS (NO 1),Flank2,-16.06422288,145.8653701,0.581185371,0.945555556,16.99588299,27.03964424
AGINCOURT REEFS (NO 1),Front,-16.05278132,145.8709994,0.807907522,1,14.77681541,27.01454544
ANDERSEN REEF,Back,-15.78726242,145.8031711,0.403390512,0.962,13.39526844,26.94665337
ANDERSEN REEF,Flank1,-15.78166921,145.8144897,0.6920463,1,15.48689079,26.989645
ANDERSEN REEF,Flank2,-15.79472134,145.7996465,0.418214813,0.952083333,15.66106892,26.94210911
ANDERSEN REEF,Front,-15.79280143,145.8094605,0.668979645,1,16.00378609,26.96439171
ARLINGTON REEF,Back,-16.66039618,146.090835,0.279955342,0.182631579,6.81017971,26.87019157
ARLINGTON REEF,Flank1,-16.64246989,146.0936536,0.391931951,0.813142857,11.59695721,26.77336216
ARLINGTON REEF,Flank2,-16.67751943,146.1180162,0.635923445,0.997931034,12.59356785,27.09860706
ARLINGTON REEF,Front,-16.65328773,146.1125359,0.584572941,1,4.158718109,27.11745167
ASHMORE BANKS (1),Back,-11.88452195,143.6435694,0.166850321,0.865555556,16.24234009,27.19149685
ASHMORE BANKS (1),Flank1,-11.88657179,143.6483299,0.148897871,0.905,16.91038704,27.19496536
ASHMORE BANKS (1),Flank2,-11.88560224,143.6414179,0.161189213,0.961111111,16.35361862,27.19277763
ASHMORE BANKS (1),Front,-11.88787611,143.6466522,0.13795656,0.90375,16.91038704,27.19496536
ASHMORE BANKS (2),Back,-11.8894957,143.6765262,0.117044883,0.975833333,15.07113361,27.19509315
ASHMORE BANKS (2),Flank1,-11.88621353,143.6772443,0.161249168,0.895833333,14.99381113,27.19509315
ASHMORE BANKS (2),Flank2,-11.89201242,143.6816978,0.12266919,1,14.99381113,27.19096851
ASHMORE BANKS (2),Front,-11.88972185,143.6838201,0.201697599,0.988,14.99381113,27.19509315
ASHMORE BANKS (3),Back,-11.92381794,143.6902931,0.18771885,0.954,14.81662941,27.19225788
ASHMORE BANKS (3),Flank1,-11.92415725,143.6942423,0.459504589,0.94,14.81662941,27.19225788
ASHMORE BANKS (3),Flank2,-11.9272147,143.6893901,0.128601592,0.95125,16.37750816,27.19063377
ASHMORE BANKS (3),Front,-11.92709682,143.6945763,0.141544566,0.993,16.37750816,27.19063377
BEAVER REEF,Back,-17.84004573,146.4869598,NA,0.265384615,10.55407715,26.72126961
BEAVER REEF,Flank1,-17.8370654,146.4960741,NA,0.38,8.46901226,26.93352509
BEAVER REEF,Flank2,-17.84452497,146.4930793,NA,0.387333333,8.512440681,26.88702106
BEAVER REEF,Front,-17.83983681,146.5029966,NA,0.826071429,2.606056929,26.93995857
BEN REEF,Back,-20.00932692,150.3174421,0.371396035,0.504,11.51124477,25.91099834
BEN REEF,Flank1,-20.00467039,150.3178766,0.450885803,0.591666667,11.51124477,25.91036987
BEN REEF,Flank2,-20.00962643,150.321578,0.668312311,0.993,11.51124477,25.91036987
BEN REEF,Front,-20.00404532,150.3201465,0.744243577,0.997142857,11.51124477,25.91036987
BLANCHARD REEF,Back,-13.41347127,143.7385342,0.031614842,0.508152174,9.277575493,NA
BLANCHARD REEF,Flank1,-13.3887797,143.7689025,0.117576189,0.583488372,7.727843523,27.08736897
BLANCHARD REEF,Flank2,-13.44171445,143.7425849,0.075320993,0.61625,1.33217895,27.069561
BLANCHARD REEF,Front,-13.42026344,143.770541,0.115486652,0.864756098,0.017421458,27.19676781
BORDER ISLAND REEF (NO 1),Back,-20.15527065,149.0307811,0.169489536,NA,12.75302887,26.47082424
BORDER ISLAND REEF (NO 1),Flank1,-20.15514961,149.0424594,0.419869892,NA,13.26334953,NA
BORDER ISLAND REEF (NO 1),Flank2,-20.17097261,149.0297914,0.216274142,NA,10.75319862,25.96057224
BORDER ISLAND REEF (NO 1),Front,-20.1712249,149.0400599,0.493380234,NA,14.79457188,26.813797
BOULDER REEF,Back,-15.41069181,145.4185213,0.069908991,NA,6.621955872,26.75580788
BOULDER REEF,Flank1,-15.39740038,145.4356771,0.220247108,NA,4.00449276,26.77012539
BOULDER REEF,Flank2,-15.43147504,145.4237059,0.217303034,NA,3.821639895,26.80055714
BOULDER REEF,Front,-15.41957107,145.4441811,0.289350361,NA,0.032874446,27.00907135
BOULT REEF,Back,-23.75520717,152.2654055,0.316523701,0.570526316,3.595249653,24.29861641
BOULT REEF,Flank1,-23.74745479,152.2822651,0.651884586,1,8.846515656,24.26647949
BOULT REEF,Flank2,-23.76787397,152.2600301,0.418042034,0.9745,7.402936935,24.31371498
BOULT REEF,Front,-23.76281568,152.2808628,0.680320203,1,4.705373287,24.26670265
BOWDEN REEF,Back,-19.03398906,147.9340781,0.236906659,0.467368421,12.61298847,26.51452351
BOWDEN REEF,Flank1,-19.01410047,147.9285674,0.246657252,0.9553125,13.36474514,26.62747955
BOWDEN REEF,Flank2,-19.05374813,147.9290233,0.215705387,0.970344828,14.97519302,26.64041328
BOWDEN REEF,Front,-19.0344793,147.9408478,0.401775077,0.999038462,14.56919575,26.59644413
Bramble Reef,Back,NA,NA,NA,NA,9.439992428,NA
Bramble Reef,Flank1,NA,NA,NA,NA,17.17118549,NA
Bramble Reef,Flank2,NA,NA,NA,NA,12.55769539,NA
Bramble Reef,Front,NA,NA,NA,NA,15.00397015,NA
BRAMBLE REEF,Back,-18.42396845,146.7213022,0.203818142,0.37,NA,26.81692028
BRAMBLE REEF,Flank1,-18.3985156,146.729736,0.167984441,0.58,NA,26.88733768
BRAMBLE REEF,Flank2,-18.44163081,146.7065556,0.377385601,0.52,NA,26.45536613
BRAMBLE REEF,Front,-18.42508693,146.7474178,0.284931928,0.48,NA,26.89602566
BROOMFIELD REEF,Back,-23.25386066,151.9353495,0.480056509,0.662432432,4.617690325,24.7853775
BROOMFIELD REEF,Flank1,-23.25402664,151.9452433,0.7246297,0.999375,5.281053066,24.7776432
BROOMFIELD REEF,Flank2,-23.27310416,151.9313204,0.36141701,0.459649123,2.92394042,27.0718441
BROOMFIELD REEF,Front,-23.27424229,151.951652,0.819343418,1,0.095931433,NA
CANNAN REEF,Back,-20.48193464,150.1481566,0.210820079,0.266363636,10.55305052,26.16007233
CANNAN REEF,Flank1,-20.47656527,150.1546322,0.207328543,0.78,12.08641005,26.13483047
CANNAN REEF,Flank2,-20.4851994,150.1513639,0.252801463,0.82,10.55305052,26.13958454
CANNAN REEF,Front,-20.48098422,150.1585891,0.476265833,0.684285714,11.85967922,26.13483047
CARTER REEF,Back,-14.55313748,145.5929132,NA,0.348205128,10.64357758,26.79947376
CARTER REEF,Flank1,-14.52723739,145.570459,NA,0.918333333,10.2250061,26.89105225
CARTER REEF,Flank2,-14.56893613,145.6043756,NA,0.997575758,11.4981842,26.80185127
CARTER REEF,Front,-14.53978867,145.5949825,NA,0.999390244,17.12145233,26.91751289
CELEBRATION REEF,Back,-13.26966446,143.6824903,0.058356655,0.356153846,10.49091387,27.09707642
CELEBRATION REEF,Flank1,-13.26939496,143.7024804,0.111660503,0.803043478,11.17911816,27.13475132
CELEBRATION REEF,Flank2,-13.28739359,143.6874624,0.04390227,0.643913043,11.01572895,27.11008072
CELEBRATION REEF,Front,-13.28549223,143.7036596,0.079651173,0.969705882,9.317013741,27.10223484
CENTIPEDE REEF,Back,-18.73926564,147.5232254,0.192479655,0.398421053,9.911894798,26.6490469
CENTIPEDE REEF,Flank1,-18.73223867,147.542733,0.455140077,0.790526316,11.81007957,26.65488625
CENTIPEDE REEF,Flank2,-18.74506114,147.5152851,0.21033968,0.774545455,14.87821198,26.70610142
CENTIPEDE REEF,Front,-18.7468417,147.5369833,0.340385839,0.999272727,11.66799784,26.69270706
CHARITY REEF,Back,-19.35928066,148.3350217,0.210375778,0.61862069,11.1642704,26.47429943
CHARITY REEF,Flank1,-19.36529116,148.3474367,0.67021969,1,12.67754841,26.52540684
CHARITY REEF,Flank2,-19.37093148,148.3313022,0.133392785,0.698333333,12.40329933,26.48610687
CHARITY REEF,Front,-19.37685988,148.342324,0.40118403,0.999545455,13.64929247,26.25448036
CHICKEN REEF,Back,-18.66261817,147.709446,0.229383558,0.579893617,12.28711367,26.92876816
CHICKEN REEF,Flank1,-18.65248013,147.7137788,0.379193425,0.988709677,13.98477364,26.67342472
CHICKEN REEF,Flank2,-18.6701727,147.7109931,0.497408241,0.993333333,14.61258936,26.66318703
CHICKEN REEF,Front,-18.66006808,147.7230206,0.763135821,1,12.74371624,26.63183975
CHINAMAN REEF(16024),Back,-16.2104331,145.7917537,0.362409629,0.363103448,8.59503746,26.97956848
CHINAMAN REEF(16024),Flank1,-16.20501561,145.8020957,0.401404411,0.966,11.45751572,27.00447845
CHINAMAN REEF(16024),Flank2,-16.21781647,145.7847352,0.351562247,0.942,9.214855194,26.9299612
CHINAMAN REEF(16024),Front,-16.21496995,145.8027784,0.455353446,0.969772727,10.91217613,26.93919754
CHINAMAN REEF(22102),Back,-22.00038797,152.6576779,0.341361403,0.845588235,7.497105837,25.56421566
CHINAMAN REEF(22102),Flank1,-22.00300476,152.6671385,0.708595991,1,10.40188313,25.5476408
CHINAMAN REEF(22102),Flank2,-22.0110932,152.6471178,0.356690146,0.798181818,11.07211733,25.57096672
CHINAMAN REEF(22102),Front,-22.01244986,152.6568244,0.608877003,1,11.28981972,25.56100655
CLACK REEF,Back,-14.06339735,144.2316434,0.202870883,NA,0.003824454,26.8968792
CLACK REEF,Flank1,-14.04936359,144.2644709,0.382482067,NA,12.52188301,26.83302307
CLACK REEF,Flank2,-14.08014966,144.2331557,0.248455606,NA,0.032110609,26.91501141
CLACK REEF,Front,-14.06547415,144.2639456,0.345127776,NA,6.542965412,26.85664654
CORBETT REEF,Back,-13.92803592,144.2377258,0.252791733,0.61,0.071576837,26.93681145
CREAL REEF,Back,-20.52874551,150.3788615,0.213613063,0.854666667,11.31633091,25.93762016
CREAL REEF,Flank1,-20.53257138,150.3876261,0.480481461,0.96125,12.58370352,25.93826199
CREAL REEF,Flank2,-20.53578233,150.3762788,0.189393528,0.681428571,10.16109562,25.93645668
CREAL REEF,Front,-20.53837504,150.3840744,0.410775386,0.84,10.16109562,25.93645668
CREDLIN REEFS (EAST),Back,-20.53649154,149.9376665,0.095486822,0.286382979,8.549621582,26.15305805
CREDLIN REEFS (EAST),Flank1,-20.52246826,149.9513205,0.168318875,0.392941176,8.668273926,26.14763737
CREDLIN REEFS (EAST),Flank2,-20.55568843,149.9426958,0.328100219,0.864,4.850563288,26.14099312
CREDLIN REEFS (EAST),Front,-20.54628654,149.9611582,0.52056542,0.983823529,4.402281761,26.18105793
CREECH REEF (NORTH),Back,-13.62004676,144.0957668,0.093062833,0.763461538,4.883066654,26.98255444
CREECH REEF (NORTH),Flank1,-13.61455792,144.1068609,0.257301647,0.941428571,15.3110733,27.04173279
CREECH REEF (NORTH),Flank2,-13.63225433,144.1005699,0.118563782,0.9234375,3.237389207,26.97385406
CREECH REEF (NORTH),Front,-13.62604503,144.1139773,0.413491242,0.994324324,5.895373344,27.02213669
CURD REEF,Back,-12.58661453,143.5168953,0.245352201,0.7355,8.13941288,27.21174526
CURD REEF,Flank1,-12.58934975,143.5200163,0.19313509,0.8,8.13941288,27.19112301
CURD REEF,Flank2,-12.58826169,143.5073748,0.097768394,0.65875,11.73185825,27.23242283
CURD REEF,Front,-12.59219446,143.5134301,0.146582283,0.788125,8.13941288,27.21942234
DAVIE REEF,Back,-13.98562746,144.4501945,0.208544977,0.808333333,0.414867282,26.95458031
DAVIE REEF,Flank1,-13.97133012,144.4449301,0.163661391,0.877209302,5.082949162,27.00508213
DAVIE REEF,Flank2,-13.98148988,144.4695291,0.282600045,1,12.49511814,26.98736477
DAVIE REEF,Front,-13.97170917,144.4658365,0.365823306,0.967419355,0.348711908,26.9979744
DAVIES REEF,Back,-18.8469319,147.6343766,0.23995823,0.985882353,14.99397945,26.68843174
DAVIES REEF,Flank1,-18.802576,147.6571907,0.198965721,0.9535,12.24883366,26.66909885
DAVIES REEF,Flank2,-18.83340827,147.651604,0.324863285,0.990909091,13.44576931,26.75310993
DAVIES REEF,Front,-18.81193002,147.6679425,0.369309425,0.986551724,14.57791281,26.7006197
DIP REEF,Back,-18.40663505,147.4497433,0.294257253,0.751034483,12.12238312,26.76358986
DIP REEF,Flank1,-18.40294767,147.4568659,0.424886629,1,13.71708298,26.75970078
DIP REEF,Flank2,-18.41473853,147.454991,0.353360891,0.438039216,12.12238312,26.69655991
DIP REEF,Front,-18.41597154,147.4631904,0.550923541,0.994255319,16.39218712,26.7646246
EAST CAY REEF,Back,-21.48321666,152.562923,0.225581225,0.3145,7.18021822,25.58554649
EAST CAY REEF,Flank1,-21.46996379,152.5704663,0.636525765,0.972857143,5.308891535,25.76570034
EAST CAY REEF,Flank2,-21.49436391,152.5553198,0.641456544,1,7.363110065,25.57783508
EAST CAY REEF,Front,-21.48655921,152.5741548,0.992993951,1,8.880989075,25.5906868
EGRET REEF,Back,-15.46888744,145.4216164,0.054641762,NA,0.078619082,NA
EGRET REEF,Flank1,-15.46998871,145.4345398,0.34239424,NA,0.176363401,26.86368942
EGRET REEF,Flank2,-15.47965127,145.4044416,0.106386239,NA,11.8032999,26.8048439
EGRET REEF,Front,-15.4854838,145.4218932,0.347143561,NA,0.933697462,26.83073044
ELIZABETH REEF,Back,-19.33185033,149.0494637,0.276309542,0.8644,15.08185196,26.11278248
ELIZABETH REEF,Flank1,-19.32539229,149.0567955,0.483729072,1,12.08606052,26.20402813
ELIZABETH REEF,Flank2,-19.33840486,149.0420348,0.242380694,0.670833333,11.10102892,27.19555473
ELIZABETH REEF,Front,-19.33713597,149.0513843,0.580891788,1,11.10102892,26.17093468
ELLISON REEF,Back,-17.72507009,146.3979986,NA,0.22402439,9.057291031,26.94796562
ELLISON REEF,Flank1,-17.70778995,146.4082857,NA,0.362222222,11.80794001,26.99277306
ELLISON REEF,Flank2,-17.74125027,146.3793864,NA,0.3925,12.86969948,26.82414913
ELLISON REEF,Front,-17.72849853,146.4059955,NA,0.708469388,10.01248264,27.0718441
ERSKINE REEF,Back,-23.50158598,151.7700848,0.299218126,0.524137931,10.76141453,24.89285564
ERSKINE REEF,Flank1,-23.49939069,151.7794165,0.424103811,0.828571429,12.4648056,24.89037609
ERSKINE REEF,Flank2,-23.50806427,151.7735117,0.375255689,1,10.44468403,24.90138817
ERSKINE REEF,Front,-23.50513762,151.7815988,0.586244896,0.997826087,12.57386827,24.896451
